iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.0228794512862,0.0249899626148,0.0225428666734,0.95424403183,0.950020721094,0.954914636168,0.976586359009,0.974369872912,0.97693742581,0.023556504
10,4.57173004747e-22,5.66669510642e-30,4.24962363993e-34,1.0,1.0,1.0,1.0,1.0,1.0,0.083774697
20,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.137598873
30,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.184912982
40,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.231638861
50,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.278412528
60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.327898654
70,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37397344
80,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.421442856
90,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.467902782
100,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.515478011
110,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.563605347
120,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.629886176
130,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.678847217
140,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.724905221
150,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.770936489
160,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.817278941
170,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.863677997
180,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.911370419
190,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.958782378
200,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.005794693
