iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,3.85335939856e-07,3.93184523363e-07,2.16959651832e-07,1.0,1.0,1.0,1.0,1.0,1.0,0.061234509
10,3.85335939856e-07,3.93184523363e-07,2.16959651832e-07,1.0,1.0,1.0,1.0,1.0,1.0,0.701438316
20,4.27255626987e-08,3.64162838336e-08,1.87318165463e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.309620572
30,8.19813386698e-09,5.37443133598e-09,3.09221856052e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.893776706
40,4.4635317738e-09,2.55961775885e-09,1.40066346889e-09,1.0,1.0,1.0,1.0,1.0,1.0,2.504386121
50,6.74237217124e-10,3.53896193552e-10,1.01315161302e-10,1.0,1.0,1.0,1.0,1.0,1.0,3.119029805
60,1.04862034168e-10,6.12997394198e-11,6.43473388883e-12,1.0,1.0,1.0,1.0,1.0,1.0,3.755688592
70,4.02254490953e-11,1.47006694365e-11,1.49674133157e-12,1.0,1.0,1.0,1.0,1.0,1.0,4.36900051
80,4.02254490953e-11,1.47006694365e-11,1.49674133157e-12,1.0,1.0,1.0,1.0,1.0,1.0,5.012454376
90,1.21798485925e-11,4.43573676222e-12,4.67974444852e-13,1.0,1.0,1.0,1.0,1.0,1.0,5.636621524
100,1.23484531705e-13,2.87667242815e-14,5.89051253846e-15,1.0,1.0,1.0,1.0,1.0,1.0,6.298215795
110,4.18418967707e-14,7.84150438533e-15,1.4815596439e-15,1.0,1.0,1.0,1.0,1.0,1.0,6.936326097
120,3.44873982665e-15,1.01498243328e-15,1.61490732247e-16,1.0,1.0,1.0,1.0,1.0,1.0,7.560424695
130,3.44873982665e-15,1.01498243328e-15,1.61490732247e-16,1.0,1.0,1.0,1.0,1.0,1.0,8.206988385
140,1.66153425133e-15,5.03397722548e-16,7.00946095272e-17,1.0,1.0,1.0,1.0,1.0,1.0,8.858576493
150,2.08152338822e-16,7.73596630833e-17,1.05968948854e-17,1.0,1.0,1.0,1.0,1.0,1.0,9.510287198
160,2.08152338822e-16,7.73596630833e-17,1.05968948854e-17,1.0,1.0,1.0,1.0,1.0,1.0,10.15887698
170,6.2210188728e-17,2.51642192116e-17,4.39760720887e-18,1.0,1.0,1.0,1.0,1.0,1.0,10.811601442
180,6.2210188728e-17,2.51642192116e-17,4.39760720887e-18,1.0,1.0,1.0,1.0,1.0,1.0,11.429247428
190,3.03221953405e-17,1.24251881852e-17,2.35447095213e-18,1.0,1.0,1.0,1.0,1.0,1.0,12.051119114
200,3.60283214414e-17,1.26971220555e-17,2.17185787049e-19,1.0,1.0,1.0,1.0,1.0,1.0,12.662713558
