iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.0653996209826,0.0665988257921,0.0642307552701,0.869197612732,0.866804807294,0.871539864081,0.930022172949,0.928650712605,0.931361261181,0.014578602
10,1.3000885121e-25,4.41079944932e-29,1.68146166138e-32,1.0,1.0,1.0,1.0,1.0,1.0,0.0752530409999
20,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.122374014
30,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.172825258
40,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.219976381
50,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.265396379
60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.314892459
70,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.360198966
80,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.406054732
90,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.452010906
100,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.497288399
110,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.542561909
120,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.587562356
130,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63258527
140,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.677586569
150,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.724063845
160,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76900484
170,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.815032125
180,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.860608855
190,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.90870803
200,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.954076546
210,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999806873
220,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.046647098
230,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.091813659
240,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.138028109
250,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.187300048
260,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.232916313
270,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.282098935
280,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.330704702
290,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.376386959
300,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.422067509
310,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.467424362
320,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.514627538
330,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.560559535
340,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.606900846
350,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.652525361
360,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.69805743
370,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.745925637
380,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.791015396
390,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.838254415
400,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.884342289
410,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.930074891
420,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.975060541
430,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.020077197
440,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.067247378
450,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.111931803
460,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.157071055
470,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.20328124
480,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.249522716
490,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.293712492
500,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.336301135
