iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.000215997438947,0.000264992185948,0.000248518166825,1.0,1.0,1.0,1.0,1.0,1.0,0.032633393
10,4.28663554903e-05,5.34212128312e-05,4.71202333082e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.12554528
20,4.28663554903e-05,5.34212128312e-05,4.71202333082e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.215041564
30,1.97003048168e-05,2.35741956371e-05,2.06393757871e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.305217668
40,1.97003048168e-05,2.35741956371e-05,2.06393757871e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.396110288
50,5.9698592759e-06,6.4621626677e-06,5.33363185942e-06,1.0,1.0,1.0,1.0,1.0,1.0,0.481034422
60,3.6434347026e-07,2.92250225632e-07,1.60367205216e-07,1.0,1.0,1.0,1.0,1.0,1.0,0.562311985
70,3.6434347026e-07,2.92250225632e-07,1.60367205216e-07,1.0,1.0,1.0,1.0,1.0,1.0,0.652430632
80,3.6434347026e-07,2.92250225632e-07,1.60367205216e-07,1.0,1.0,1.0,1.0,1.0,1.0,0.735900404
90,3.6434347026e-07,2.92250225632e-07,1.60367205216e-07,1.0,1.0,1.0,1.0,1.0,1.0,0.841103965
100,3.19111194649e-07,2.25252335892e-07,1.09147158281e-07,1.0,1.0,1.0,1.0,1.0,1.0,0.927574051
110,2.11416779744e-07,1.84467074045e-07,6.08509324082e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.016361214
120,2.11416779744e-07,1.84467074045e-07,6.08509324082e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.110770982
130,1.53130895411e-07,1.06960677263e-07,5.15580487321e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.204412751
140,1.53130895411e-07,1.06960677263e-07,5.15580487321e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.287234558
150,1.53130895411e-07,1.06960677263e-07,5.15580487321e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.375953741
160,7.50200861049e-08,3.2285514769e-08,1.35627789011e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.468622428
170,7.50200861049e-08,3.2285514769e-08,1.35627789011e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.56785608
180,0.0228780585513,0.0249893427421,0.0225426749227,0.95424403183,0.950020721094,0.954914636168,0.976586359009,0.974369872912,0.97693742581,1.66170862
190,7.50200861049e-08,3.2285514769e-08,1.35627789011e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.760644459
200,7.50200861049e-08,3.2285514769e-08,1.35627789011e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.853601572
210,7.50200861049e-08,3.2285514769e-08,1.35627789011e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.945079294
220,6.6665573558e-08,2.42441622302e-08,1.02264727369e-08,1.0,1.0,1.0,1.0,1.0,1.0,2.03390628
230,6.6665573558e-08,2.42441622302e-08,1.02264727369e-08,1.0,1.0,1.0,1.0,1.0,1.0,2.117523681
240,5.03294253716e-06,7.50622847509e-06,6.56542301615e-06,1.0,1.0,1.0,1.0,1.0,1.0,2.216992567
250,5.87786319809e-08,1.86844369106e-08,7.69270213296e-09,1.0,1.0,1.0,1.0,1.0,1.0,2.321395986
260,5.87786319809e-08,1.86844369106e-08,7.69270213296e-09,1.0,1.0,1.0,1.0,1.0,1.0,2.418593591
270,3.31458349496e-10,5.99609299491e-11,1.04844559202e-10,1.0,1.0,1.0,1.0,1.0,1.0,2.50578474
280,3.31458349496e-10,5.99609299491e-11,1.04844559202e-10,1.0,1.0,1.0,1.0,1.0,1.0,2.604488758
290,2.22644685149e-09,9.90400162637e-11,1.79750518167e-09,1.0,1.0,1.0,1.0,1.0,1.0,2.700210954
300,3.31458349496e-10,5.99609299491e-11,1.04844559202e-10,1.0,1.0,1.0,1.0,1.0,1.0,2.794302714
310,3.31458349496e-10,5.99609299491e-11,1.04844559202e-10,1.0,1.0,1.0,1.0,1.0,1.0,2.898196693
320,3.31458349496e-10,5.99609299491e-11,1.04844559202e-10,1.0,1.0,1.0,1.0,1.0,1.0,2.990781752
330,3.00249738094e-10,4.93205220661e-11,8.79567614662e-11,1.0,1.0,1.0,1.0,1.0,1.0,3.096404014
340,2.91392565604e-11,1.3210051348e-13,2.84907055774e-13,1.0,1.0,1.0,1.0,1.0,1.0,3.1995317
350,2.91392565604e-11,1.3210051348e-13,2.84907055774e-13,1.0,1.0,1.0,1.0,1.0,1.0,3.28638607
360,2.91392565604e-11,1.3210051348e-13,2.84907055774e-13,1.0,1.0,1.0,1.0,1.0,1.0,3.375478442
370,2.91392565604e-11,1.3210051348e-13,2.84907055774e-13,1.0,1.0,1.0,1.0,1.0,1.0,3.478857578
380,2.5643725643e-11,6.97164420676e-14,1.41033408096e-13,1.0,1.0,1.0,1.0,1.0,1.0,3.575052517
390,2.91392565604e-11,1.3210051348e-13,2.84907055774e-13,1.0,1.0,1.0,1.0,1.0,1.0,3.660522213
400,2.517120381e-12,2.3139212418e-14,1.60764256228e-13,1.0,1.0,1.0,1.0,1.0,1.0,3.758377166
410,2.517120381e-12,2.3139212418e-14,1.60764256228e-13,1.0,1.0,1.0,1.0,1.0,1.0,3.855294021
420,2.517120381e-12,2.3139212418e-14,1.60764256228e-13,1.0,1.0,1.0,1.0,1.0,1.0,3.9401789
430,1.02362950363e-12,9.40909444345e-15,6.53726600773e-14,1.0,1.0,1.0,1.0,1.0,1.0,4.029567662
440,1.02362950363e-12,9.40909444345e-15,6.53726600773e-14,1.0,1.0,1.0,1.0,1.0,1.0,4.110965263
450,1.02362950363e-12,9.40909444345e-15,6.53726600773e-14,1.0,1.0,1.0,1.0,1.0,1.0,4.189547437
460,1.68391171924e-12,2.42857743557e-14,1.71958652875e-13,1.0,1.0,1.0,1.0,1.0,1.0,4.288175223
470,8.0387885064e-13,4.45833402161e-15,2.99015057984e-14,1.0,1.0,1.0,1.0,1.0,1.0,4.373960369
480,4.08593420924e-13,3.7555259537e-15,2.60929929627e-14,1.0,1.0,1.0,1.0,1.0,1.0,4.463943054
490,4.08593420924e-13,3.7555259537e-15,2.60929929627e-14,1.0,1.0,1.0,1.0,1.0,1.0,4.554624329
500,4.03715306814e-13,3.68453445353e-15,2.6047151233e-14,1.0,1.0,1.0,1.0,1.0,1.0,4.654830777
