problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,RHC,"[]",90.0,4050,0.00162644000056,4061.0
CONTPEAKS,MIMIC,"['100', '50', '0.5']",87.0,4670,18.022690685,514700.0
CONTPEAKS,GA,"['100', '50', '30']",93.0,4670,0.186924838999,295141.0
CONTPEAKS,SA,"['0.95']",99.0,3770,0.00203091799949,3781.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",848.0,2470,1352.90959849,272700.0
FLIPFLOP,GA,"['100', '50', '50']",617.0,2810,0.618589800033,196866.0
FLIPFLOP,RHC,"[]",757.0,2950,0.00575970797945,2961.0
FLIPFLOP,SA,"['0.55']",786.0,2980,0.00746750694816,2991.0
NN,SA,"['0.5']",0.409398756047,610,1.655761193,0
NN,RHC,"[]",0.441221374046,1000,2.704007996,0
NN,Backprop,"[]",0.629422718808,370,1.640365098,0
NN,GA,"['100', '10', '1']",0.476090750436,730,34.927300956,0
TSP,SA,"['0.35']",0.0575347653649,2960,0.0039779469862,2971.0
TSP,GA,"['100', '50', '10']",0.114220100522,1830,0.378421260997,100854.0
TSP,RHC,"[]",0.0514876280681,3000,0.00239473700822,3011.0
TSP,MIMIC,"['100', '50', '0.1']",0.0367606574285,2740,331.204604185,302400.0
